name,brand,model,price,currency,old_price,discount,rating,reviews,url,source_site,scraped_at
"Samsung A06 – 6.7"" – 64 Go – 4 Go RAM – Helio G85 – 5000 mAh/25W – 50MP + Adaptateur – Black",samsung,A06,1049.0,Dhs,1399.0,25%,4,5,https://www.jumia.ma/samsung-a06-6.7-64-go-4-go-ram-helio-g85-5000-mah25w-50mp-adaptateur-black-65797927.html,jumia_ma,2026-04-24T14:51:10.379896
"Samsung A16 6.7"" (128 Go - 4 Go) Amoled 90Hz - Helio G99 - 5000mAh/25W - Noir",samsung,Unknown,1449.0,Dhs,1899.0,24%,5,1,https://www.jumia.ma/samsung-a16-6.7-128-go-4-go-amoled-90hz-helio-g99-5000mah25w-noir-67305179.html,jumia_ma,2026-04-24T14:51:10.380483
"Samsung Galaxy A06 6.7"" 4G LTE (4GB RAM + 128 GB ROM) capteur d’empreinte  - 50 Mpx - NOIR",samsung,A06,1290.0,Dhs,1390.0,7%,,,https://www.jumia.ma/samsung-galaxy-a06-6.7-4g-lte-4gb-ram-128-gb-rom-capteur-dempreinte-50-mpx-noir-66307905.html,jumia_ma,2026-04-24T14:51:10.380977
"Samsung Galaxy A07 – 6.7"" – 128 Go – 4 Go RAM – Helio G99 – 5000 mAh/25W – 50MP – Vert",samsung,A07,1299.0,Dhs,1399.0,7%,,,https://www.jumia.ma/samsung-galaxy-a07-6.7-128-go-4-go-ram-helio-g99-5000-mah25w-50mp-vert-67417165.html,jumia_ma,2026-04-24T14:51:10.381456
"Apple iPhone 17 Pro Max 256 Go 6,9"" 12 Go RAM Puce A19 Pro Orange Cosmique iOS",apple,Unknown,15775.0,Dhs,22999.0,31%,,,https://www.jumia.ma/apple-iphone-17-pro-max-256-go-69-12-go-ram-puce-a19-pro-orange-cosmique-ios-67234002.html,jumia_ma,2026-04-24T14:51:14.576139
"Apple iPhone 17 Pro Max 256 Go 6,9"" 12 Go RAM Puce A19 Pro Bleu Intense iOS",apple,Unknown,15775.0,Dhs,22999.0,31%,,,https://www.jumia.ma/apple-iphone-17-pro-max-256-go-69-12-go-ram-puce-a19-pro-bleu-intense-ios-67234003.html,jumia_ma,2026-04-24T14:51:14.577127
"Apple iPhone 17 Pro Max 256 Go 6,9"" 12 Go RAM Puce A19 Pro Argent iOS",apple,Unknown,15775.0,Dhs,22999.0,31%,,,https://www.jumia.ma/apple-iphone-17-pro-max-256-go-69-12-go-ram-puce-a19-pro-argent-ios-67234004.html,jumia_ma,2026-04-24T14:51:14.578092
Apple iPhone 13 Pro - 256GB - Bleu Alpin - 6.1-inch - Remis à neuf,apple,Iphone 13 Pro,5800.0,Dhs,6899.0,16%,,,https://www.jumia.ma/apple-iphone-13-pro-256gb-bleu-alpin-6.1-inch-remis-a-neuf-67569553.html,jumia_ma,2026-04-24T14:51:14.578772
Apple iPhone 17 Normal 256 GB 6.3-inch Noir Neuf,apple,Unknown,10249.0,Dhs,11899.0,14%,,,https://www.jumia.ma/apple-iphone-17-normal-256-gb-6.3-inch-noir-neuf-67496236.html,jumia_ma,2026-04-24T14:51:14.579513
"Apple iPhone 15 – 6,1"" – 128 Go – 6 Go RAM – Bleu",apple,Iphone 15,7975.0,Dhs,13000.0,39%,4,3,https://www.jumia.ma/iphone-15-128gb-bleu-61-blue-dynamic-island-a16-bionic-ios-48-mpx-6gb-ram-siri-apple-mpg1455789.html,jumia_ma,2026-04-24T14:51:14.580458
